iter	Passed	Remaining
0	82	41153
1	88	22032
2	94	15616
3	99	12399
4	105	10433
5	110	9096
6	116	8204
7	121	7489
8	127	6951
9	133	6522
10	138	6146
11	143	5832
12	148	5550
13	152	5300
14	157	5103
15	163	4950
16	169	4806
17	174	4672
18	179	4547
19	185	4447
20	190	4343
21	194	4236
22	200	4161
23	205	4081
24	210	3997
25	215	3921
26	220	3862
27	225	3798
28	230	3737
29	235	3685
30	240	3639
31	247	3613
32	252	3569
33	257	3531
34	262	3491
35	268	3456
36	274	3429
37	279	3400
38	284	3368
39	289	3333
40	295	3303
41	299	3270
42	305	3243
43	310	3215
44	315	3186
45	320	3162
46	325	3141
47	331	3122
48	336	3096
49	341	3076
50	346	3052
51	351	3031
52	356	3005
53	361	2981
54	366	2961
55	371	2943
56	376	2922
57	380	2902
58	386	2885
59	390	2866
60	395	2843
61	399	2824
62	404	2803
63	408	2785
64	413	2768
65	418	2752
66	423	2737
67	428	2723
68	435	2719
69	440	2707
70	446	2694
71	450	2678
72	458	2680
73	463	2667
74	468	2655
75	473	2643
76	478	2629
77	483	2616
78	488	2604
79	493	2590
80	498	2579
81	503	2568
82	508	2554
83	513	2542
84	517	2527
85	522	2513
86	527	2502
87	531	2487
88	536	2476
89	540	2464
90	545	2450
91	549	2438
92	554	2425
93	560	2420
94	566	2414
95	571	2404
96	576	2394
97	581	2383
98	585	2373
99	590	2361
100	595	2351
101	599	2340
102	604	2329
103	608	2317
104	613	2306
105	618	2298
106	622	2287
107	627	2278
108	631	2266
109	636	2256
110	640	2246
111	645	2234
112	649	2226
113	654	2217
114	659	2207
115	664	2199
116	669	2190
117	674	2181
118	678	2171
119	682	2162
120	687	2153
121	692	2144
122	697	2136
123	701	2128
124	706	2119
125	711	2112
126	716	2103
127	720	2095
128	725	2086
129	729	2077
130	733	2067
131	738	2058
132	742	2048
133	746	2038
134	750	2029
135	755	2020
136	759	2013
137	771	2023
138	775	2014
139	780	2006
140	785	2000
141	789	1991
142	794	1982
143	799	1977
144	804	1970
145	809	1962
146	813	1953
147	818	1947
148	823	1939
149	827	1931
150	833	1925
151	837	1917
152	842	1911
153	847	1903
154	851	1896
155	857	1889
156	861	1882
157	866	1875
158	871	1868
159	876	1861
160	880	1854
161	885	1848
162	890	1840
163	894	1833
164	899	1826
165	904	1820
166	908	1812
167	912	1803
168	917	1796
169	922	1790
170	929	1787
171	933	1780
172	938	1774
173	943	1768
174	947	1760
175	952	1752
176	956	1745
177	961	1738
178	966	1732
179	970	1724
180	974	1717
181	979	1711
182	984	1705
183	991	1702
184	995	1694
185	999	1686
186	1003	1679
187	1009	1675
188	1013	1668
189	1018	1661
190	1022	1653
191	1026	1646
192	1031	1640
193	1035	1633
194	1042	1629
195	1047	1625
196	1052	1618
197	1057	1613
198	1061	1605
199	1066	1599
200	1070	1592
201	1075	1587
202	1080	1580
203	1084	1573
204	1089	1567
205	1093	1561
206	1098	1555
207	1102	1548
208	1107	1542
209	1112	1536
210	1117	1530
211	1122	1524
212	1127	1519
213	1133	1515
214	1138	1509
215	1143	1503
216	1148	1497
217	1153	1491
218	1157	1484
219	1161	1478
220	1165	1471
221	1170	1466
222	1175	1460
223	1182	1456
224	1186	1450
225	1190	1443
226	1195	1437
227	1200	1431
228	1204	1425
229	1209	1419
230	1214	1413
231	1218	1408
232	1223	1402
233	1228	1396
234	1233	1390
235	1237	1384
236	1241	1378
237	1246	1372
238	1253	1369
239	1258	1363
240	1263	1357
241	1267	1351
242	1271	1345
243	1278	1341
244	1283	1336
245	1288	1330
246	1294	1325
247	1301	1322
248	1306	1317
249	1312	1312
250	1317	1306
251	1327	1306
252	1332	1300
253	1336	1294
254	1340	1288
255	1345	1282
256	1350	1276
257	1355	1271
258	1360	1265
259	1364	1259
260	1368	1253
261	1376	1250
262	1381	1245
263	1385	1238
264	1390	1233
265	1395	1227
266	1400	1222
267	1404	1216
268	1410	1211
269	1414	1204
270	1419	1199
271	1423	1193
272	1427	1187
273	1432	1181
274	1436	1175
275	1441	1170
276	1446	1164
277	1451	1159
278	1457	1154
279	1461	1148
280	1466	1142
281	1470	1136
282	1473	1130
283	1477	1124
284	1482	1118
285	1486	1112
286	1490	1106
287	1494	1100
288	1499	1094
289	1504	1089
290	1509	1083
291	1513	1077
292	1518	1072
293	1522	1066
294	1527	1061
295	1532	1055
296	1536	1049
297	1540	1044
298	1545	1039
299	1549	1033
300	1554	1027
301	1558	1021
302	1563	1016
303	1567	1010
304	1572	1005
305	1576	999
306	1580	993
307	1584	987
308	1588	982
309	1593	976
310	1597	970
311	1602	965
312	1606	959
313	1611	954
314	1615	948
315	1619	943
316	1623	937
317	1628	931
318	1632	926
319	1637	921
320	1642	915
321	1646	910
322	1650	904
323	1655	899
324	1660	893
325	1664	888
326	1668	882
327	1672	877
328	1677	871
329	1681	866
330	1686	861
331	1691	855
332	1696	850
333	1700	845
334	1705	840
335	1710	834
336	1715	829
337	1718	823
338	1722	818
339	1728	813
340	1732	807
341	1736	802
342	1740	796
343	1745	791
344	1749	786
345	1754	780
346	1757	775
347	1763	770
348	1766	764
349	1771	759
350	1776	754
351	1780	748
352	1785	743
353	1789	737
354	1793	732
355	1797	727
356	1801	721
357	1805	716
358	1810	711
359	1814	705
360	1818	700
361	1822	694
362	1826	689
363	1831	684
364	1835	678
365	1839	673
366	1843	668
367	1847	662
368	1852	657
369	1858	652
370	1863	647
371	1867	642
372	1871	637
373	1875	631
374	1879	626
375	1884	621
376	1888	616
377	1891	610
378	1896	605
379	1900	600
380	1904	594
381	1909	589
382	1913	584
383	1918	579
384	1921	574
385	1925	568
386	1930	563
387	1934	558
388	1938	553
389	1943	548
390	1947	542
391	1951	537
392	1956	532
393	1960	527
394	1964	522
395	1968	517
396	1973	511
397	1977	506
398	1982	501
399	1986	496
400	1990	491
401	1994	486
402	1998	481
403	2003	475
404	2007	470
405	2011	465
406	2015	460
407	2020	455
408	2024	450
409	2028	445
410	2033	440
411	2037	435
412	2041	430
413	2045	425
414	2050	419
415	2054	414
416	2059	409
417	2063	404
418	2067	399
419	2071	394
420	2075	389
421	2079	384
422	2084	379
423	2088	374
424	2092	369
425	2096	364
426	2100	359
427	2105	354
428	2109	349
429	2113	344
430	2118	339
431	2122	334
432	2126	328
433	2130	323
434	2134	318
435	2138	313
436	2144	309
437	2149	304
438	2153	299
439	2157	294
440	2161	289
441	2165	284
442	2169	279
443	2173	274
444	2177	269
445	2182	264
446	2186	259
447	2189	254
448	2194	249
449	2198	244
450	2203	239
451	2208	234
452	2212	229
453	2216	224
454	2220	219
455	2224	214
456	2229	209
457	2233	204
458	2237	199
459	2241	194
460	2247	190
461	2253	185
462	2257	180
463	2261	175
464	2266	170
465	2270	165
466	2275	160
467	2279	155
468	2283	150
469	2288	146
470	2294	141
471	2299	136
472	2303	131
473	2308	126
474	2312	121
475	2316	116
476	2321	111
477	2326	107
478	2330	102
479	2334	97
480	2339	92
481	2343	87
482	2348	82
483	2352	77
484	2356	72
485	2361	68
486	2365	63
487	2369	58
488	2373	53
489	2377	48
490	2381	43
491	2385	38
