iter	MultiClass
0	1.306660877
1	1.237819694
2	1.17164044
3	1.118069594
4	1.07839414
5	1.037092991
6	0.997712201
7	0.9705401702
8	0.9429617563
9	0.9222465742
10	0.9040700732
11	0.8844536658
12	0.8603299071
13	0.8455168084
14	0.8283360208
15	0.8135542622
16	0.7972874949
17	0.780452957
18	0.7673066852
19	0.7559265895
20	0.746588578
21	0.7339641997
22	0.722914758
23	0.7108324433
24	0.7041928632
25	0.6940185434
26	0.684295356
27	0.677170862
28	0.6710332457
29	0.6647721977
30	0.6571356938
31	0.6470651061
32	0.641516406
33	0.630998425
34	0.6271370681
35	0.6211235757
36	0.61411684
37	0.608595717
38	0.6020949757
39	0.5928969677
40	0.58737511
41	0.5837194711
42	0.5776744677
43	0.5727890209
44	0.5681465298
45	0.5641535321
46	0.5572677138
47	0.5513514922
48	0.5480273162
49	0.5445395012
50	0.5375552473
51	0.5342453512
52	0.5301505221
53	0.5247567916
54	0.5203193186
55	0.5155229804
56	0.5107284323
57	0.5051582784
58	0.5019922673
59	0.4973082996
60	0.4928148039
61	0.4874976178
62	0.4850575132
63	0.4808515193
64	0.4780600525
65	0.4746652745
66	0.4691346203
67	0.4643382284
68	0.4611845126
69	0.4557171608
70	0.4531079677
71	0.4488053891
72	0.4471886088
73	0.4440346688
74	0.4414171265
75	0.4384927837
76	0.4360680022
77	0.432198804
78	0.4287669809
79	0.4256522292
80	0.4226991877
81	0.4180829282
82	0.4150844048
83	0.4130596773
84	0.4115779727
85	0.4105475609
86	0.4082317337
87	0.4054850082
88	0.4021900405
89	0.4003834671
90	0.39785546
91	0.3955380005
92	0.3929525247
93	0.3904975835
94	0.3876190605
95	0.3850854957
96	0.3832782804
97	0.3808461636
98	0.3791283904
99	0.376478967
100	0.3739766107
101	0.3724102738
102	0.3699080583
103	0.3676602888
104	0.3646779871
105	0.3635375192
106	0.3606621365
107	0.3578775918
108	0.3560926764
109	0.3550425007
110	0.352746914
111	0.3508381195
112	0.3470570908
113	0.3446025398
114	0.3432385624
115	0.341210541
116	0.3396877297
117	0.338737982
118	0.3365031405
119	0.332585321
120	0.3313943557
121	0.3286381531
122	0.3269484665
123	0.3260293812
124	0.3250961631
125	0.3238801888
126	0.3213893502
127	0.3186915732
128	0.317239865
129	0.3143507496
130	0.313574352
131	0.3117971621
132	0.3102331329
133	0.3089706936
134	0.3079731761
135	0.3067282473
136	0.3059091826
137	0.3053663393
138	0.3024446622
139	0.3004386265
140	0.2984061135
141	0.2964623896
142	0.2947690013
143	0.2930273065
144	0.2910106872
145	0.2898647976
146	0.2880139718
147	0.2866240621
148	0.2845314912
149	0.282962985
150	0.2815132376
151	0.2795762068
152	0.2774586995
153	0.2758888405
154	0.2748791739
155	0.2736493336
156	0.2717909058
157	0.2704705607
158	0.2687468138
159	0.2672010289
160	0.2656667332
161	0.2645299248
162	0.2630184684
163	0.2620471494
164	0.2606404516
165	0.2595128441
166	0.2583455584
167	0.2580408249
168	0.2565725102
169	0.2551673793
170	0.2545529376
171	0.2540746859
172	0.2534207423
173	0.2525199425
174	0.2511243075
175	0.2498454423
176	0.2488323501
177	0.2483896404
178	0.2475466444
179	0.2463300663
180	0.2454790463
181	0.2438792067
182	0.2422204708
183	0.2410411543
184	0.2396910315
185	0.2381371585
186	0.237194009
187	0.2361001763
188	0.2352431928
189	0.2347513176
190	0.2344478153
191	0.233411271
192	0.2314057086
193	0.230507803
194	0.2294375553
195	0.2288563063
196	0.227893066
197	0.2271376528
198	0.2255196086
199	0.2244913849
200	0.2229117203
201	0.2219769389
202	0.2209142898
203	0.219548971
204	0.2181932562
205	0.2176970143
206	0.2167399201
207	0.2153359176
208	0.2142549739
209	0.2130233643
210	0.2118219917
211	0.2110704283
212	0.2099428772
213	0.209370783
214	0.2079616811
215	0.2068993718
216	0.2063345907
217	0.2058132186
218	0.2053255457
219	0.2046311184
220	0.2032260879
221	0.2026781952
222	0.2016348896
223	0.2004714016
224	0.1998913374
225	0.1991371993
226	0.1978501262
227	0.1975435344
228	0.1970258034
229	0.1960029757
230	0.1951584553
231	0.1943561248
232	0.1935796962
233	0.1931856458
234	0.1926693165
235	0.1918894577
236	0.1908845274
237	0.1903746763
238	0.1897473352
239	0.1887537542
240	0.1882045649
241	0.1875650027
242	0.1870717866
243	0.1863710169
244	0.1857601589
245	0.185161548
246	0.1841882256
247	0.1836744478
248	0.1829773022
249	0.1824906917
250	0.181809868
251	0.1809152812
252	0.180082838
253	0.1796253943
254	0.1791529899
255	0.1787701905
256	0.1778026925
257	0.1768762184
258	0.1762273849
259	0.1756052504
260	0.1747820242
261	0.1738770809
262	0.1733199592
263	0.1729376738
264	0.1725113277
265	0.1716931406
266	0.1712262091
267	0.170888035
268	0.1704881569
269	0.1703382007
270	0.1698328927
271	0.1689537779
272	0.1681894345
273	0.1679995574
274	0.1676392611
275	0.1672453889
276	0.1668853726
277	0.1664351537
278	0.1660242633
279	0.1656681357
280	0.1651345669
281	0.1647545675
282	0.1642640571
283	0.1637637374
284	0.1631641283
285	0.1626975043
286	0.1621813012
287	0.161622096
288	0.1612190124
289	0.1607874215
290	0.1602335115
291	0.1598481296
292	0.1593235438
293	0.1586742961
294	0.1581156441
295	0.1576244072
296	0.1574048244
297	0.1571326808
298	0.1566919677
299	0.1563413586
300	0.1558842455
301	0.1555757132
302	0.1554535956
303	0.1549513796
304	0.1542714112
305	0.1537288178
306	0.1533968098
307	0.1531047604
308	0.1526312314
309	0.1525293884
310	0.1518628691
311	0.1514298749
312	0.1510636187
313	0.1507213128
314	0.1504915308
315	0.1500322847
316	0.1496897849
317	0.1491996445
318	0.1486864644
319	0.148272969
320	0.1478618578
321	0.1474451695
322	0.1469284618
323	0.146521304
324	0.1460161753
325	0.1456511157
326	0.1452929807
327	0.1449007872
328	0.1446819115
329	0.1442436863
330	0.1438320834
331	0.1435109082
332	0.1432373249
333	0.1427668051
334	0.1423626146
335	0.1418967833
336	0.1416031106
337	0.1413392666
338	0.1407912687
339	0.1405267133
340	0.1401074809
341	0.1397901811
342	0.1395277176
343	0.1392415727
344	0.1390338235
345	0.1386720612
346	0.1384216153
347	0.1379916911
348	0.1378555135
349	0.1376558572
350	0.1373225062
351	0.1372383735
352	0.1370541715
353	0.1368670816
354	0.1364798929
355	0.136227839
356	0.1359091078
357	0.1355630931
358	0.1353821515
359	0.135108624
360	0.1348966643
361	0.1343427403
362	0.1341701272
363	0.1338504716
364	0.1334391522
365	0.1332670643
366	0.1329672465
367	0.132791911
368	0.1324831055
369	0.1322262487
370	0.1319417276
371	0.1316493265
372	0.1312699008
373	0.1309187634
374	0.1307552311
375	0.1306351765
376	0.130525128
377	0.1303178599
378	0.1298521066
379	0.1296447541
380	0.1295167522
381	0.1289180641
382	0.1287479231
383	0.1284729104
384	0.1282157547
385	0.1280334849
386	0.1278262163
387	0.1275418285
388	0.1273710634
389	0.1269812506
390	0.1267561424
391	0.126427913
392	0.1260866312
393	0.1258312783
394	0.1254998822
395	0.1253082377
396	0.1249077534
397	0.1246762334
398	0.1244030903
399	0.124049089
400	0.1235572248
401	0.1234038935
402	0.1232114447
403	0.1229200992
404	0.1225928874
405	0.1224124885
406	0.1222611633
407	0.1220651496
408	0.1219912622
409	0.1218700326
410	0.1216596341
411	0.121491043
412	0.1214158832
413	0.1211069643
414	0.1207886583
415	0.1206209963
416	0.120453667
417	0.1200637153
418	0.1198186012
419	0.1197147022
420	0.1195041721
421	0.1192869026
422	0.119161121
423	0.1188466457
424	0.1187131779
425	0.1183761935
426	0.1181420858
427	0.117933344
428	0.1176941531
429	0.1175541597
430	0.1173078289
431	0.1169613892
432	0.1168454034
433	0.1165374561
434	0.1163784234
435	0.1162898156
436	0.1160236006
437	0.1159585161
438	0.1158441207
439	0.1156770401
440	0.115510152
441	0.1153530823
442	0.1151731557
443	0.1149351615
444	0.1145642474
445	0.1143281832
446	0.1141219649
447	0.1139696374
448	0.1136612848
449	0.1134846147
450	0.1132083591
451	0.1130548888
452	0.1128774689
453	0.1127986977
454	0.1126230679
455	0.1125102356
456	0.1123126918
457	0.1122183624
458	0.111950279
459	0.1117070885
460	0.1115527073
461	0.1112997852
462	0.1112306564
463	0.1108829697
464	0.1105997343
465	0.1104233231
466	0.1103549504
467	0.1101286036
468	0.1100745018
469	0.1098204185
470	0.1096635206
471	0.1094510578
472	0.1093611999
473	0.1091771922
474	0.1090269376
475	0.1088163473
476	0.108526645
477	0.108396573
478	0.1082499325
479	0.1080517853
480	0.1078015044
481	0.107603512
482	0.1074699944
483	0.107175123
484	0.1071251407
485	0.1069907935
486	0.1067485292
487	0.1066591169
488	0.1064332663
489	0.1063067321
490	0.1060189643
491	0.1057907119
492	0.1054850643
493	0.1053749541
494	0.1052829755
495	0.1050575473
496	0.1049450514
497	0.1047136566
498	0.1045528945
499	0.104305334
