target,kind
-0.903089986991943,1
-0.943095148663527,1
-0.97061622231479,1
-1.0,1
-1.08777794346758,1
-1.14996674231023,1
-1.19997064075587,1
-1.25963731050576,1
-1.3767507096021,1
-1.3767507096021,1
-1.47495519296315,1
-1.50863830616573,1
-1.6615435063954,1
-1.67778070526608,1
-1.69897000433602,1
-1.72353819582676,1
-1.73992861201493,1
-1.769551079,1
-1.77989191195995,1
-1.79999999793418,1
-1.83863199776503,1
-1.84163750790475,1
-1.85078088734462,1
-1.86966623150499,1
-1.89962945488244,1
-1.92081875395238,1
-1.92081875395238,1
-1.92445303860747,1
-1.95860731484177,1
-1.98296666070122,1
-1.98716277529483,1
-2.0,1
-2.02227639471115,1
-2.05060999335509,1
-2.07417242537526,1
-2.07572071393812,1
-2.08407278830288,1
-2.15490195998574,1
-2.19997064075587,1
-2.22184874961636,1
-2.2298847052129,1
-2.24412514432751,1
-2.26841123481326,1
-2.27572413039921,1
-2.29242982390206,1
-2.31875876262441,1
-2.3269790928711,1
-2.32790214206428,1
-2.36653154442041,1
-2.3767507096021,1
-2.38090666937326,1
-2.39794000867204,1
-2.39794000867204,1
-2.39794000867204,1
-2.39794000867204,1
-2.40011692792631,1
-2.4089353929735,1
-2.4089353929735,1
-2.42021640338319,1
-2.43651891460559,1
-2.44977164694491,1
-2.45222529461218,1
-2.45593195564972,1
-2.46852108295774,1
-2.46852108295774,1
-2.49485002168009,1
-2.49485002168009,1
-2.49485002168009,1
-2.49894073778225,1
-2.5003129173816,1
-2.52287874528034,1
-2.56863623584101,1
-2.61978875828839,1
-2.63827216398241,1
-2.63827216398241,1
-2.65757731917779,1
-2.67778070526608,1
-2.67778070526608,1
-2.68613277963085,1
-2.69897000433602,1
-2.70553377383841,1
-2.70553377383841,1
-2.72124639904717,1
-2.74472749489669,1
-2.74472749489669,1
-2.74472749489669,1
-2.75696195131371,1
-2.77728352885242,1
-2.78251605578609,1
-2.79588001734407,1
-2.80000005273845,1
-2.80134291304558,1
-2.80410034759077,1
-2.80687540164554,1
-2.82390874094432,1
-2.82390874094432,1
-2.82390874094432,1
-2.83564714421556,1
-2.85387196432176,1
-2.85387196432176,1
-2.85387196432176,1
-2.85698519974591,1
-2.87942606879415,1
-2.88605664769316,1
-2.88605664769316,1
-2.88605664769316,1
-2.88605664769316,1
-2.88605664769316,1
-2.9100948885606,1
-2.91364016932525,1
-2.92081875395238,1
-2.93554201077308,1
-2.94309514866353,1
-2.95078197732982,1
-2.95860731484177,1
-2.95860731484177,1
-2.95860731484177,1
-2.95860731484177,1
-2.99139982823808,1
-3.0,1
-3.0,1
-3.0,1
-3.0,1
-3.01772876696043,1
-3.02181948306259,1
-3.02227639471115,1
-3.02227639471115,1
-3.03151705144606,1
-3.03621217265444,1
-3.040481623027,1
-3.04575749056068,1
-3.04817696468409,1
-3.05060999335509,1
-3.05551732784983,1
-3.09420411963213,1
-3.09691001300806,1
-3.13076828026902,1
-3.13667713987954,1
-3.13667713987954,1
-3.13667713987954,1
-3.15490195998574,1
-3.15490195998574,1
-3.15490195998574,1
-3.16115090926274,1
-3.16115090926274,1
-3.17392519729917,1
-3.18708664335714,1
-3.18708664335714,1
-3.19382002601611,1
-3.19382002601611,1
-3.20901152491118,1
-3.21183162885883,1
-3.21752737583371,1
-3.22914798835786,1
-3.23284413391782,1
-3.23433144524099,1
-3.2518119729938,1
-3.2518119729938,1
-3.26760624017703,1
-3.27736607746619,1
-3.27818938478745,1
-3.2839966563652,1
-3.30102999566398,1
-3.30980391997149,1
-3.33724216831843,1
-3.34198860334289,1
-3.34678748622466,1
-3.35261702988538,1
-3.35654732351381,1
-3.35654732351381,1
-3.35753547975788,1
-3.36051351073141,1
-3.3829996588791,1
-3.38721614328026,1
-3.39469495385889,1
-3.39685562737982,1
-3.39794000867204,1
-3.39794000867204,1
-3.39794000867204,1
-3.42021640338319,1
-3.431798275933,1
-3.431798275933,1
-3.43533393574791,1
-3.44369749923271,1
-3.44369749923271,1
-3.44977164694491,1
-3.45345733652187,1
-3.47366072261016,1
-3.47495519296315,1
-3.49349496759513,1
-3.49485002168009,1
-3.49620931694282,1
-3.49894073778225,1
-3.5003129173816,1
-3.50445566245355,1
-3.52287874528034,1
-3.53461714855158,1
-3.53610701101409,1
-3.54668165995296,1
-3.55129368009492,1
-3.5654310959658,1
-3.58502665202918,1
-3.60205999132796,1
-3.60205999132796,1
-3.61978875828839,1
-3.62160209905186,1
-3.67778070526608,1
-3.67778070526608,1
-3.68193666503724,1
-3.69250396208679,1
-3.69897000433602,1
-3.72124639904717,1
-3.72124639904717,1
-3.72124639904717,1
-3.72124639904717,1
-3.7281583934635,1
-3.73992861201493,1
-3.74232142513082,1
-3.74472749489669,1
-3.74957999769111,1
-3.795880017,1
-3.79588001734407,1
-3.82390874094432,1
-3.84771165561694,1
-3.85078088734462,1
-3.85078088734462,1
-3.85387196432176,1
-3.86646109162978,1
-3.88605664769316,1
-3.89962945488244,1
-3.91721462968355,1
-3.92445303860747,1
-3.93181413825384,1
-3.97469413473523,1
-3.97469413473523,1
-4.0,1
-4.0,1
-4.0,1
-4.0,1
-4.0268721464003,2
-4.04479346245806,2
-4.04575749056068,2
-4.05207638016827,2
-4.1157712303674,2
-4.13076828026902,2
-4.14874165128092,2
-4.19997064075587,2
-4.22914798835786,2
-4.27572413039921,2
-4.2839966563652,2
-4.33724216831843,2
-4.36351210364663,2
-4.36653154442041,2
-4.36855623098683,2
