iter	Logloss
0	0.6882353062
1	0.6830132647
2	0.6776746424
3	0.6711994264
4	0.6662980987
5	0.6610790346
6	0.6536584249
7	0.6485125379
8	0.6425112748
9	0.6377862139
10	0.632596737
11	0.6276288847
12	0.6220249083
13	0.6185864239
14	0.6144836705
15	0.6104478603
16	0.6069642509
17	0.6028619627
18	0.5986436518
19	0.5944276205
20	0.5914542966
21	0.5872909732
22	0.5839317601
23	0.5799552638
24	0.5775820104
25	0.5739798197
26	0.5706045569
27	0.566336469
28	0.5614587272
29	0.5591930762
30	0.556065257
31	0.553006242
32	0.5494221943
33	0.5460382787
34	0.5425831399
35	0.5391954562
36	0.5360917812
37	0.5328999031
38	0.5301063817
39	0.5268161122
40	0.525127597
41	0.5219007818
42	0.5184847204
43	0.5159973517
44	0.5132174608
45	0.5102663738
46	0.5073267774
47	0.5048559235
48	0.5024579676
49	0.498961565
50	0.4968545495
51	0.4943849517
52	0.4918935822
53	0.4899113353
54	0.4873400898
55	0.4854331133
56	0.4822691941
57	0.479783221
58	0.4773361857
59	0.4749998697
60	0.4732319436
61	0.470456984
62	0.4685136749
63	0.4663164557
64	0.4640520608
65	0.4618479101
66	0.4591982772
67	0.4575137162
68	0.4560687368
69	0.4541998142
70	0.4525492133
71	0.4505420313
72	0.4481734764
73	0.4459855615
74	0.4443456138
75	0.441547859
76	0.4402744945
77	0.4381770622
78	0.4365159477
79	0.4349542013
80	0.4337493152
81	0.4316677
82	0.4291928919
83	0.4272539092
84	0.4261212698
85	0.4246919678
86	0.4240603563
87	0.4222325116
88	0.4200530634
89	0.4185752869
90	0.4167025496
91	0.414555852
92	0.4127667125
93	0.4111246714
94	0.410109078
95	0.4088532052
96	0.4074766578
97	0.4055210207
98	0.4042309552
99	0.4029412153
100	0.4016243074
101	0.4005487023
102	0.3993057623
103	0.3978503157
104	0.396702464
105	0.394915604
106	0.3933485078
107	0.3917144217
108	0.3894539577
109	0.3880683387
110	0.386844635
111	0.3855264245
112	0.3840819568
