iter	Logloss
113	0.3822986091
114	0.3810043335
115	0.3794811295
116	0.3781194454
117	0.3769593588
118	0.3759134572
119	0.3752144604
120	0.3744377043
121	0.3732343767
122	0.3721270212
123	0.3711573671
124	0.3698252701
125	0.3690002721
126	0.3682898545
127	0.3666591644
128	0.365290479
129	0.3644936492
130	0.3635283214
131	0.3627167678
132	0.361880977
133	0.3609326525
134	0.3600430372
135	0.3587707892
136	0.3576625266
137	0.3567269023
138	0.3557404774
139	0.3543666747
140	0.3530969852
141	0.3524314136
142	0.3512004527
143	0.3502438243
144	0.3493556511
145	0.3480492801
146	0.3471802502
147	0.3461313015
148	0.3451459699
149	0.3442693571
150	0.3433261964
151	0.3426479247
152	0.3419493931
153	0.3411494464
154	0.3401153146
155	0.3393081805
156	0.3384491525
157	0.3375745634
158	0.3367560317
159	0.3357748869
160	0.334958751
161	0.3341109578
162	0.3336663595
163	0.3326219466
164	0.3321086604
165	0.3314956572
166	0.3305552878
167	0.3298909722
168	0.3292433808
169	0.328381678
170	0.3275602852
171	0.3269079255
172	0.3258345534
173	0.3249000456
174	0.3241272903
175	0.3236458476
176	0.3228074051
177	0.3222507384
178	0.3217106098
179	0.3210624137
180	0.320349135
181	0.3199207957
182	0.3194200934
183	0.3187389839
184	0.3178402505
185	0.3171337407
186	0.3162693163
187	0.3150529164
188	0.314242991
189	0.3137643861
190	0.3132089289
191	0.3125743401
192	0.3121093424
193	0.3115863335
194	0.3109177845
195	0.3102838702
196	0.3098862811
197	0.3092010545
198	0.3078461624
199	0.3071963845
200	0.3065819624
201	0.3063380079
202	0.3057922038
203	0.304922825
204	0.304016625
205	0.3033869674
206	0.302196084
207	0.3015113924
208	0.3009725431
209	0.3002955274
210	0.299681617
211	0.2990912693
212	0.2983972968
213	0.2975739968
214	0.2972045061
215	0.2967367172
216	0.2959045317
217	0.2951397547
218	0.2943462511
219	0.2940299104
220	0.2931662769
221	0.2925278501
222	0.2918288533
223	0.2912770713
224	0.2904997105
225	0.2902084676
226	0.2897703589
227	0.2887812359
228	0.2881197115
229	0.2872371208
230	0.2871127478
231	0.2866621715
232	0.286222202
233	0.2855630968
234	0.28484498
235	0.2843556055
236	0.2839219861
237	0.2835757558
238	0.2831152939
239	0.2827371737
240	0.2821653645
241	0.281166821
242	0.2806453472
243	0.2800094325
244	0.279686765
245	0.2793434422
246	0.2789081713
247	0.2785078374
248	0.278146581
249	0.2773713833
250	0.2764714869
251	0.2761432369
252	0.2756003868
253	0.2751976106
254	0.2743580051
255	0.2737459555
256	0.2731009227
257	0.2727716492
258	0.2723084427
259	0.271711303
260	0.2713986374
261	0.2706273707
262	0.2696964915
263	0.26888959
264	0.2684464804
265	0.26818208
266	0.2677828859
267	0.2674476344
268	0.2671707432
269	0.2666236598
270	0.2664317852
271	0.2659909086
272	0.2654933464
273	0.2650386531
274	0.2647865342
275	0.2640436684
276	0.2634547164
277	0.2630287263
278	0.2623442208
279	0.261930489
280	0.2614306008
281	0.261251845
282	0.2607076924
283	0.2601589808
284	0.2596946809
285	0.2593926918
286	0.2587291671
287	0.2580387767
288	0.2577399742
289	0.2572786982
290	0.2569176046
291	0.2564928008
292	0.256018941
293	0.2553415066
294	0.2547794202
295	0.2543419861
296	0.253980497
297	0.2536330339
298	0.2530628065
299	0.252455409
300	0.2521939627
301	0.251758808
302	0.2510515771
303	0.2507468433
304	0.2503506963
305	0.2499759023
306	0.2495845236
307	0.2493788789
308	0.2487735283
309	0.2482032543
310	0.2476027884
311	0.2472088744
312	0.2465181816
313	0.2460552076
314	0.2457822707
315	0.2453169939
316	0.2448337369
317	0.2444748064
318	0.2438993687
319	0.2435828883
320	0.2433546811
321	0.2428336027
322	0.2425314973
323	0.2421354433
324	0.2417339697
325	0.2413359386
326	0.2411050099
327	0.2406134954
328	0.2402083467
329	0.2396617285
330	0.2391017821
331	0.238458866
332	0.2381487591
333	0.2374970971
334	0.2371074863
335	0.2366079005
336	0.2362159171
337	0.2358742225
338	0.2355791418
339	0.2350421533
340	0.2347164154
341	0.2342170855
342	0.2335302074
343	0.2333710833
344	0.2329334631
345	0.2327253295
346	0.2321815026
347	0.2318317599
348	0.2314613389
349	0.2312405749
350	0.2309791751
351	0.2306486921
352	0.2303019268
353	0.2297223254
354	0.2292252285
355	0.2287932373
356	0.2286215526
357	0.2283736438
358	0.2280799819
359	0.2276952325
360	0.2272207214
361	0.2267817521
362	0.2263257096
363	0.2261255776
364	0.2257657865
365	0.2253461233
366	0.2248840797
367	0.2244738602
368	0.2239721112
369	0.2235437719
370	0.2231514396
371	0.2228355408
372	0.2224272053
373	0.2220298255
374	0.2217856617
375	0.2214657155
376	0.2209476378
377	0.2206699325
378	0.2204455632
379	0.2200644423
380	0.2194422047
381	0.2192086941
382	0.2186331865
383	0.2183838588
384	0.2179814315
385	0.2174113204
386	0.2169055474
387	0.2166014415
388	0.2163088031
389	0.2160762229
390	0.2157691863
391	0.2154805718
392	0.2150339731
393	0.2145922591
394	0.2141799462
395	0.214052712
396	0.2134210307
397	0.2132381811
398	0.2128658295
399	0.2125847747
400	0.2123707562
401	0.2120855843
402	0.2117365163
403	0.2113727942
404	0.2111935267
405	0.2108302465
406	0.2105202791
407	0.2100114125
408	0.2096017512
409	0.2092565676
410	0.208884402
411	0.2085335894
412	0.2082142248
413	0.2078900919
414	0.2074192094
415	0.2072738554
416	0.2068035079
417	0.2066460819
418	0.2063290201
419	0.2060316132
420	0.2055088136
421	0.2052135002
422	0.2049395864
423	0.2046080799
424	0.2041754839
425	0.2039837488
426	0.2038703314
427	0.2035481058
428	0.2031658917
429	0.2030137457
430	0.2026734236
431	0.2023031188
432	0.2020468828
433	0.2017118407
434	0.2015234552
435	0.2013166939
436	0.2009456914
437	0.2006826168
438	0.2003028218
439	0.1998274268
440	0.1996448331
441	0.1992381957
442	0.1990149893
443	0.1985219165
444	0.1983714685
445	0.1978897002
446	0.1976012253
447	0.1974449158
448	0.1972552509
449	0.1969530059
450	0.1964954516
451	0.1961870891
452	0.1960535282
453	0.195846325
454	0.1957594243
455	0.1955116086
456	0.1952978692
457	0.1951355818
458	0.1947765001
459	0.1944936892
460	0.1940770382
461	0.1937694084
462	0.1935044731
463	0.1932376652
464	0.1930699
465	0.1928789441
466	0.1923663442
467	0.1920662391
468	0.1917876267
469	0.1914586556
470	0.1911531076
471	0.1908305564
472	0.1905213333
473	0.1901675317
474	0.1900241549
475	0.1898975023
476	0.1895057166
477	0.1891763734
478	0.1888569041
479	0.1886776947
480	0.1884592568
481	0.188185971
482	0.1878878431
483	0.1877735301
484	0.1876082188
485	0.1874853227
486	0.1871381155
487	0.1869598714
488	0.1867330365
489	0.1863988551
490	0.1862298919
491	0.18590541
492	0.1856175748
493	0.1854441922
494	0.1852247889
495	0.1850324259
496	0.1848424586
497	0.184540423
498	0.1844151195
499	0.184027067
