iter	MultiClass
0	1.517285872
1	1.445520225
2	1.370594906
3	1.314806906
4	1.266683735
5	1.222553124
6	1.187006561
7	1.157607528
8	1.127293103
9	1.097410209
10	1.074281506
11	1.047849115
12	1.027498151
13	1.005996843
14	0.9903287496
15	0.9742502103
16	0.9554838925
17	0.9471678962
18	0.9332725119
19	0.9186203051
20	0.9096575069
21	0.8917195303
22	0.8807207329
23	0.8684957931
24	0.856485103
25	0.8476294446
26	0.829953312
27	0.821986472
28	0.8129128945
29	0.804904875
30	0.796015385
31	0.7842799845
32	0.7776313591
33	0.7692451327
34	0.7603003094
35	0.7547766087
36	0.7523791707
37	0.7455742854
38	0.7391147944
39	0.7312128153
40	0.7257822721
41	0.7221962118
42	0.7111615986
43	0.7051273812
44	0.6993828007
45	0.6902252795
46	0.6852055867
47	0.6775787371
48	0.6694409759
49	0.6624903493
50	0.6546941039
51	0.6452923604
52	0.6409088643
53	0.6336600687
54	0.6274804012
55	0.6214931498
56	0.6173277883
57	0.6144504774
58	0.6099736147
59	0.6059503269
60	0.6009311048
61	0.5950637489
62	0.5904326051
63	0.585215797
64	0.5813724769
65	0.5773397629
66	0.5708010875
67	0.5659345686
68	0.5609523272
69	0.5560375191
70	0.551150647
71	0.5470731803
72	0.5432133299
73	0.5406686544
74	0.5352416368
75	0.5308701591
76	0.5249996316
77	0.5187715892
78	0.5141057013
79	0.5104708625
80	0.5072134075
81	0.5056867981
82	0.4996712174
83	0.4955543139
84	0.4924300745
85	0.4911461246
86	0.4884848739
87	0.4855453725
88	0.4815343626
89	0.4798610603
90	0.4771815468
91	0.4742482529
92	0.4716630961
93	0.4673344846
94	0.4637518177
95	0.4597471486
96	0.456572391
97	0.4538321562
98	0.4508718403
99	0.4480399904
100	0.4454716634
101	0.4419452964
102	0.4396560053
103	0.4365997198
104	0.4328914809
105	0.4302237282
106	0.4283796958
107	0.4247775696
108	0.4223872021
109	0.420324305
110	0.418496279
111	0.4177638168
112	0.4154188284
113	0.4121649711
114	0.4103519435
115	0.4088051642
116	0.4061602514
117	0.4045916274
118	0.4015723324
119	0.3993703985
120	0.3947547077
121	0.392755378
122	0.3893162318
123	0.3879966978
124	0.3860942512
125	0.383976506
126	0.381935293
127	0.3800754113
128	0.377075082
129	0.3752042461
130	0.3726838359
131	0.3702254851
132	0.3682643957
133	0.3651788819
134	0.3629507153
135	0.3620262006
136	0.3602198724
137	0.3586991103
138	0.3569546805
139	0.3554425154
140	0.35353345
141	0.3521707465
142	0.3490851927
143	0.3473027102
144	0.3445793979
145	0.3435513431
146	0.3421600658
147	0.3410242165
148	0.3389717457
149	0.3376584482
150	0.336440889
151	0.3354437838
152	0.3341726158
153	0.3333561802
154	0.3316599578
155	0.3298605888
156	0.3278803777
157	0.3249923055
158	0.3236297314
159	0.321469929
160	0.3199799612
161	0.3182791722
162	0.3164016221
163	0.3141348187
164	0.3130789313
165	0.3120834861
166	0.3112568258
167	0.3104831283
168	0.3093403318
169	0.30819441
170	0.3067674066
171	0.3056569137
172	0.3048968385
