iter	Passed	Remaining
0	86	43027
1	92	23093
2	99	16486
3	106	13226
4	114	11320
5	121	10025
6	128	9082
7	136	8385
8	143	7803
9	149	7338
10	156	6951
11	163	6629
12	169	6332
13	174	6069
14	182	5898
15	188	5689
16	192	5479
17	197	5299
18	203	5141
19	207	4989
20	212	4849
21	216	4714
22	221	4590
23	226	4486
24	230	4374
25	234	4282
26	238	4179
27	242	4086
28	246	3996
29	249	3909
30	254	3855
31	258	3778
32	261	3705
33	268	3675
34	273	3635
35	279	3598
36	284	3565
37	288	3507
38	291	3451
39	295	3398
40	300	3364
41	304	3317
42	307	3270
43	311	3227
44	315	3186
45	318	3145
46	322	3109
47	326	3071
48	329	3034
49	333	3000
50	336	2966
51	340	2934
52	344	2903
53	347	2872
54	351	2843
55	354	2813
56	360	2799
57	363	2771
58	367	2746
59	371	2722
60	374	2698
61	380	2685
62	384	2668
63	388	2645
64	391	2622
65	395	2600
66	399	2581
67	403	2560
68	406	2541
69	411	2527
70	415	2508
71	418	2488
72	423	2478
73	427	2459
74	431	2444
75	435	2427
76	440	2420
77	444	2403
78	447	2386
79	451	2370
80	455	2354
81	460	2345
82	464	2335
83	468	2319
84	472	2304
85	475	2289
86	479	2274
87	482	2260
88	486	2246
89	490	2232
90	494	2220
91	498	2211
92	502	2197
93	505	2183
94	509	2171
95	512	2158
96	516	2145
97	521	2140
98	528	2140
99	533	2133
100	537	2123
101	541	2112
102	546	2105
103	549	2092
104	553	2081
105	557	2070
106	560	2058
107	564	2047
108	567	2036
109	573	2033
110	578	2026
111	583	2020
112	588	2013
113	591	2003
114	595	1992
115	599	1985
116	603	1975
117	607	1965
118	610	1954
119	615	1948
120	618	1938
121	623	1931
122	627	1924
123	631	1914
124	635	1905
125	638	1896
126	642	1886
127	645	1876
128	649	1867
129	653	1858
130	656	1850
131	660	1841
132	663	1832
133	667	1823
134	672	1819
135	676	1810
136	680	1802
137	683	1793
138	688	1787
139	693	1782
140	696	1774
141	700	1766
142	704	1758
143	708	1750
144	711	1742
145	715	1734
146	719	1728
147	724	1722
148	727	1713
149	731	1706
150	735	1698
151	738	1691
152	742	1683
153	745	1675
154	749	1668
155	753	1660
156	756	1652
157	760	1645
158	765	1640
159	770	1637
160	774	1629
161	777	1622
162	781	1615
163	784	1607
164	788	1600
165	791	1593
166	795	1585
167	798	1578
168	802	1571
169	805	1564
170	809	1557
171	812	1550
172	816	1543
173	820	1536
174	823	1529
175	827	1523
176	831	1516
177	835	1511
178	839	1504
179	842	1498
180	846	1491
181	849	1485
182	854	1480
183	858	1474
184	862	1468
185	865	1461
186	870	1457
187	874	1451
188	880	1448
189	884	1442
190	888	1438
191	892	1431
192	896	1425
193	900	1419
194	903	1413
195	907	1407
196	910	1400
197	914	1394
198	917	1388
199	921	1382
200	924	1375
201	928	1369
202	931	1363
203	935	1357
204	938	1350
205	942	1344
206	945	1338
207	949	1333
208	953	1326
209	956	1321
210	960	1315
211	964	1309
212	967	1303
213	970	1297
214	974	1292
215	978	1286
216	984	1283
217	987	1277
218	991	1272
219	994	1266
220	998	1260
221	1002	1254
222	1005	1248
223	1008	1243
224	1012	1237
225	1016	1231
226	1019	1226
227	1023	1220
228	1026	1215
229	1030	1209
230	1033	1203
231	1037	1198
232	1041	1193
233	1044	1187
234	1049	1183
235	1055	1180
236	1060	1176
237	1064	1171
238	1067	1166
239	1071	1160
240	1075	1156
241	1081	1153
242	1085	1147
243	1088	1142
244	1092	1136
245	1097	1133
246	1101	1127
247	1105	1123
248	1109	1118
249	1113	1113
250	1116	1107
251	1121	1103
252	1125	1098
253	1128	1093
254	1132	1087
255	1136	1082
256	1139	1077
257	1145	1074
258	1148	1069
259	1155	1066
260	1159	1062
261	1163	1056
262	1167	1051
263	1171	1046
264	1174	1041
265	1178	1036
266	1181	1031
267	1185	1025
268	1188	1020
269	1193	1016
270	1196	1011
271	1200	1005
272	1203	1000
273	1207	995
274	1210	990
275	1214	985
276	1218	980
277	1221	975
278	1225	970
279	1229	965
280	1232	960
281	1236	956
282	1240	951
283	1245	947
284	1251	944
285	1256	939
286	1259	934
287	1263	929
288	1266	924
289	1270	919
290	1274	915
291	1279	911
292	1284	907
293	1291	904
294	1297	901
295	1303	898
296	1307	893
297	1311	888
298	1317	885
299	1321	880
300	1326	877
301	1331	872
302	1337	869
303	1343	865
304	1348	862
305	1354	858
306	1361	856
