iter	Passed	Remaining
0	54	27096
1	60	14960
2	64	10688
3	68	8495
4	71	7122
5	75	6224
6	79	5599
7	84	5204
8	89	4863
9	92	4556
10	95	4263
11	98	4010
12	101	3810
13	105	3677
14	108	3521
15	112	3392
16	114	3261
17	117	3143
18	119	3036
19	122	2941
20	125	2854
21	128	2790
22	133	2764
23	137	2726
24	140	2677
25	143	2615
26	146	2562
27	148	2509
28	151	2458
29	153	2410
30	156	2365
31	159	2330
32	162	2297
33	164	2257
34	167	2226
35	170	2198
36	173	2172
37	176	2145
38	179	2120
39	182	2093
40	184	2070
41	188	2057
42	191	2036
43	194	2016
44	197	1993
45	199	1973
46	202	1951
47	205	1930
48	207	1911
49	210	1891
50	213	1879
51	216	1867
52	219	1849
53	221	1832
54	224	1816
55	227	1801
56	229	1784
57	232	1771
58	235	1756
59	238	1745
60	240	1731
61	243	1717
62	246	1707
63	248	1694
64	251	1682
65	253	1669
66	256	1659
67	259	1647
68	261	1635
69	264	1624
70	266	1612
71	269	1601
72	272	1591
73	274	1580
74	277	1570
75	279	1560
76	282	1550
77	284	1540
78	287	1531
79	289	1521
80	292	1512
81	294	1503
82	297	1496
83	300	1487
84	302	1479
85	305	1470
86	308	1465
87	311	1457
88	313	1448
89	316	1440
90	318	1432
91	321	1424
92	325	1423
93	330	1425
94	334	1425
95	337	1422
96	341	1419
97	344	1411
98	346	1404
99	349	1398
100	352	1392
101	354	1384
102	357	1378
103	360	1371
104	363	1366
105	365	1359
106	368	1353
107	370	1346
108	373	1339
109	375	1333
110	378	1326
111	380	1319
112	383	1313
113	386	1307
114	388	1301
115	391	1295
116	393	1288
117	396	1282
118	398	1276
119	401	1271
120	404	1265
121	406	1259
122	409	1253
123	411	1248
124	414	1243
125	417	1237
126	419	1232
127	422	1226
128	424	1221
129	427	1215
130	429	1210
131	432	1204
132	434	1199
133	437	1194
134	439	1189
135	442	1183
136	444	1178
137	447	1173
138	449	1168
139	452	1163
140	454	1158
141	457	1153
142	460	1148
143	462	1143
144	465	1138
145	467	1133
146	470	1129
147	472	1124
148	475	1119
149	477	1114
150	480	1110
151	482	1105
152	485	1100
153	487	1096
154	490	1091
155	492	1087
156	495	1082
157	497	1077
158	500	1073
159	502	1068
160	505	1063
161	507	1059
162	510	1054
163	512	1050
164	515	1046
165	517	1042
166	520	1037
167	523	1033
168	525	1029
169	528	1025
170	530	1020
171	533	1016
172	535	1012
173	538	1008
174	540	1004
175	544	1003
176	549	1003
177	552	999
178	554	995
179	557	991
180	560	987
181	562	983
182	565	979
183	567	975
184	570	971
185	572	966
186	575	962
187	577	959
188	580	954
189	582	951
190	585	946
191	587	943
192	590	939
193	593	935
194	595	931
195	598	928
196	600	924
197	603	920
198	606	916
199	608	912
200	611	909
201	613	905
202	616	901
203	619	898
204	621	894
205	624	890
206	626	887
207	629	883
208	631	879
209	634	876
210	636	872
211	640	869
212	642	866
213	645	862
214	647	858
215	650	855
216	653	851
217	655	848
218	658	844
219	661	841
220	664	838
221	666	834
222	669	831
223	671	827
224	674	824
225	676	820
226	679	817
227	681	813
228	684	809
229	687	806
230	689	802
231	692	799
232	694	796
233	697	792
234	699	789
235	702	785
236	704	782
237	707	778
238	709	775
239	712	771
240	714	768
241	717	764
242	720	762
243	723	758
244	725	755
245	728	752
246	731	748
247	733	745
248	736	742
249	738	738
250	742	736
251	745	733
252	748	730
253	751	727
254	753	724
255	756	720
256	758	717
257	761	714
258	763	710
259	766	707
260	768	704
261	771	700
262	773	697
263	776	694
264	779	690
265	781	687
266	784	684
267	786	680
268	788	677
269	791	674
270	793	670
271	796	667
272	798	664
273	801	661
274	803	657
275	806	654
276	809	651
277	811	648
278	814	644
279	816	641
280	819	638
281	821	635
282	824	631
283	826	628
284	829	625
285	831	622
286	834	619
287	836	615
288	839	612
289	841	609
290	844	606
291	846	603
292	849	600
293	851	596
294	854	593
295	856	590
296	859	587
297	862	584
298	864	581
299	867	578
300	869	574
301	872	571
302	874	568
303	877	565
304	879	562
305	882	559
306	884	556
307	887	553
308	890	550
309	892	546
310	894	543
311	897	540
312	899	537
313	902	534
314	904	531
315	907	528
316	909	525
317	912	522
318	914	518
319	917	515
320	919	512
321	922	509
322	924	506
323	927	503
324	929	500
325	932	497
326	934	494
327	937	491
328	939	488
329	942	485
330	944	482
331	947	479
332	949	476
333	952	473
334	954	470
335	957	467
336	959	464
337	962	461
338	964	458
339	967	455
340	969	452
341	972	449
342	974	446
343	977	443
344	979	440
345	982	437
346	984	434
347	987	431
348	989	428
349	992	425
350	994	422
351	997	419
352	1000	416
353	1002	413
354	1005	410
355	1007	407
356	1010	404
357	1012	401
358	1015	398
359	1017	395
360	1020	392
361	1022	389
362	1025	386
363	1027	384
364	1030	381
365	1032	378
366	1035	375
367	1037	372
368	1040	369
369	1042	366
