iter	MultiClass
249	0.1312752521
250	0.1310603721
251	0.1307449019
252	0.1302426875
253	0.1297439386
254	0.1295078831
255	0.1290879801
256	0.1286398522
257	0.1281171243
258	0.12760938
259	0.1274423607
260	0.1272476389
261	0.1267069209
262	0.1262465013
263	0.125962679
264	0.1253838646
265	0.1250777902
266	0.1248874072
267	0.1246338482
268	0.1242532811
269	0.1237500309
270	0.1232860814
271	0.1231099556
272	0.1227444842
273	0.1224837263
274	0.1217270704
275	0.1212171032
276	0.1205383251
277	0.1203874109
278	0.1199602968
279	0.1198018659
280	0.1193522462
281	0.119052738
282	0.1186989081
283	0.1184347369
284	0.1180704931
285	0.1177693336
286	0.1174416938
287	0.1170475829
288	0.1167351998
289	0.1164945842
290	0.1162361808
291	0.1157984845
292	0.1154343497
293	0.1151070991
294	0.1148519986
295	0.1147231907
296	0.1142880674
297	0.1138820147
298	0.1132183248
299	0.1128439372
300	0.1124999731
301	0.1121455102
302	0.112007551
303	0.1117057394
304	0.1112684974
305	0.1109894572
306	0.1106647345
307	0.1103256574
308	0.1101568506
309	0.1097366096
310	0.1093537323
311	0.1091132713
312	0.1088588735
313	0.1083852525
314	0.1081428036
315	0.1080407914
316	0.107679862
317	0.1073382678
318	0.1067913017
319	0.106637256
320	0.1064257324
321	0.1062095875
322	0.1060049656
323	0.1057395909
324	0.1054435457
325	0.1049880691
326	0.1048528344
327	0.1042738617
328	0.1040577909
329	0.1037797797
330	0.1034450327
331	0.1031325021
332	0.1029614318
333	0.1027436866
334	0.102441898
335	0.1020523765
336	0.1019119806
337	0.1014285323
338	0.1011465482
339	0.1009384372
340	0.1004337665
341	0.1002538761
342	0.09986086165
343	0.09954594327
344	0.09935422881
345	0.0992823762
346	0.09910626722
347	0.09877704742
348	0.09870096525
349	0.09850876271
350	0.09831231609
351	0.09813998534
352	0.09803108077
353	0.0978352255
354	0.09761882476
355	0.09720260818
356	0.09713792027
357	0.09696317109
358	0.09666083529
359	0.09628719598
360	0.09604094584
361	0.0957927824
362	0.0956224378
363	0.09551067645
364	0.09529021526
365	0.09504587826
366	0.09487100725
367	0.09463982974
368	0.0943747424
369	0.09409398598
370	0.09375661106
371	0.09334434155
372	0.09322466494
373	0.09313416295
374	0.0930906062
375	0.09281173036
376	0.09249071402
377	0.09242743371
378	0.0922241455
379	0.0921088353
380	0.09203254146
381	0.0918231613
382	0.09169271671
383	0.09158006465
384	0.09132260672
385	0.09120151254
386	0.09107916623
387	0.09096810711
388	0.09076917845
389	0.09046455811
390	0.09035217652
391	0.0900413658
392	0.08973947419
393	0.08964569297
394	0.08955184588
395	0.089282767
396	0.08922716034
397	0.08912788154
398	0.08894168742
399	0.08889071796
400	0.08882512621
401	0.08863871399
402	0.08852961216
403	0.08835906105
404	0.0882981267
405	0.08822623309
406	0.08806558414
407	0.08777322677
408	0.08750654768
409	0.08744295446
410	0.08732865023
411	0.0872211007
412	0.08714679993
413	0.08692586479
414	0.08682212068
415	0.08671793316
416	0.08653659775
417	0.08625765179
418	0.0861895684
419	0.08594242343
420	0.08561725743
421	0.08549751295
422	0.08542672243
423	0.08538127055
424	0.08528028762
425	0.08512004078
426	0.0850157741
427	0.08492906506
428	0.08480824064
429	0.08467378177
430	0.08438978305
431	0.08435302811
432	0.08431796661
433	0.08412952126
434	0.08404116646
435	0.08390819356
436	0.08379211271
437	0.08373855736
438	0.08369891014
439	0.08362670206
440	0.08352329025
441	0.08332959018
442	0.08329998222
443	0.08327864715
444	0.0829820387
445	0.08286047303
446	0.08275711843
447	0.08261708878
448	0.08247149971
449	0.0824121697
450	0.08226547073
451	0.08215666764
452	0.08202024345
453	0.08180404995
454	0.08151479452
455	0.08143360922
456	0.08128611866
457	0.08124299017
458	0.08110780686
459	0.08095124355
460	0.08076821359
461	0.08062358458
462	0.08048650473
463	0.080394906
464	0.08013892259
465	0.08009887048
466	0.08004243437
467	0.07998512947
468	0.07980776851
469	0.07963925457
470	0.07955095253
471	0.0793967578
472	0.07937064917
473	0.07930768398
474	0.07925693853
475	0.07923717085
476	0.07914818255
477	0.0791039795
478	0.07899403265
479	0.07891245172
480	0.07871640921
481	0.0785984762
482	0.07848046414
483	0.07839631796
484	0.07832947458
485	0.07828617388
486	0.07823651757
487	0.07814699232
488	0.07809198848
489	0.07791669799
490	0.07781023645
491	0.07760988076
492	0.0775707844
493	0.07742576368
494	0.07737033797
495	0.07725801029
496	0.07723195108
497	0.07711592833
498	0.07699613079
499	0.07686855379
